Query,Data,Singlequotes,Doublequotes,Punctuations,1-linecmt,Mulline-cmt,Spaces,Safekywrd,Harmflkywrd,Percentages,Log_oprtr,Operator,Nulls,Hex-dec,Db_info,Roles,Ntwr_cmds,Lang_cmds,Alphabets,Digits,Spl_char,Label
SELECT contain ( s )  FROM hurt SELECT chair ( s ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,34,0,0,0
SELECT tight FROM tears,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0
SELECT * FROM inch,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,14,0,0,0
"  SELECT * FROM long WHERE contain NOT IN  ( 'southern', 'two', 'desk' )  ",1,6,0,10,0,0,13,3,0,0,3,4,0,0,0,0,0,1,46,0,6,0
SELECT COUNT ( ProductID ) FROM Products;,1,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,1,32,0,0,0
SELECT TOP 50 PERCENT * FROM fuel SELECT * FROM owner FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM tin,1,0,0,0,0,0,22,4,0,0,1,4,0,0,0,0,0,3,80,5,0,0
" SELECT column_name ( s )  FROM blanket,angle",1,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,1,33,0,0,0
"  SELECT mileID AS ID, limited AS come FROM wish",1,0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,37,0,0,0
SELECT * FROM soil WHERE part BETWEEN 'fight' AND 'said',1,4,0,4,0,0,10,2,0,0,3,4,0,0,0,0,0,1,42,0,4,0
SELECT AVG ( cannot ) FROM recognize SELECT SUM ( duck ) ,1,0,0,4,0,0,12,2,0,0,1,1,0,0,0,0,0,2,41,0,0,0
SELECT AVG ( milk ) FROM written,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
SELECT interest FROM men,1,0,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,1,21,0,0,0
"   SELECT potatoes, clearly, stillFROM yesterday WHERE bowl  IS NOT NULL",1,0,0,2,0,0,10,1,1,0,1,1,1,0,0,0,0,1,57,0,0,0
SELECT COUNT ( youth )  FROM hide,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
SELECT * FROM older WHERE wagon BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,35,16,4,0
SELECT * FROM taste WHERE until = 'heading' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,2,1,0,1,3,0,0,0,0,0,1,50,1,2,0
SELECT * FROM pack FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM furniture,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,61,3,0,0
SELECT TOP 50 PERCENT * FROM frame SELECT * FROM swam FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM decide,1,0,0,0,0,0,22,3,1,0,0,3,0,0,0,0,0,3,83,5,0,0
SELECT * FROM course WHERE sense = 'cool',1,2,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,1,30,0,2,0
SELECT * FROM  ( SELECT beginning FROM gold ) ,1,0,0,2,0,0,9,4,0,0,2,3,0,0,0,0,0,2,33,0,0,0
SELECT TOP 3 * FROM consonant WHERE funny = 'common' SELECT * FROM spoken,1,2,0,2,0,0,14,2,0,0,0,3,0,0,0,0,0,2,54,1,2,0
"  SELECT coffee,band FROM tonight WHERE willing = 'sale' UNION SELECT merely, carbon FROM extra",1,2,0,4,0,0,14,6,0,0,3,4,0,0,0,0,0,2,75,0,2,0
SELECT bottom FROM noted,1,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,1,21,0,0,0
"  SELECT Orders.enjoyrID, Employees.organization, Employees.she FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.singleID ORDER BY Orders.awareID",1,0,0,8,0,0,15,11,0,0,8,9,0,0,0,0,0,1,136,0,0,0
"   SELECT Employees.thick, COUNT ( Orders.bandID )  AS packageFROM    ( OrdersINNER JOIN buried ON Orders.boardID  =  Employees.overID ) ",1,0,0,9,0,0,17,8,1,0,7,8,0,0,0,0,0,1,101,0,0,0
SELECT stared ( s )  FROM swung UNION,1,0,0,2,0,0,8,3,0,0,0,0,0,0,0,0,0,1,27,0,0,0
SELECT * FROM hollow,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,16,0,0,0
SELECT TOP 3 * FROM particular WHERE rise = 'treated',1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,39,1,2,0
SELECT Count ( * )  AS silver,1,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,19,0,0,0
SELECT AVG ( whom ) FROM having SELECT SUM ( sweet ) ,1,0,0,4,0,0,12,4,0,0,1,1,0,0,0,0,0,2,37,0,0,0
SELECT AVG ( game ) FROM stage SELECT SUM ( subject ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,38,0,0,0
